Date,Open,High,Low,Close,Volume
2003-01-01,1.0504,1.0504,1.0468,1.0476,0
2003-01-02,1.0475,1.0488,1.0338,1.0384,0
2003-01-03,1.0383,1.0437,1.0342,1.0423,0
2003-01-05,1.042,1.0451,1.0418,1.0448,0
2003-01-06,1.0447,1.0496,1.0425,1.044,0
2003-01-07,1.0439,1.0453,1.0398,1.0421,0
2003-01-08,1.0422,1.0536,1.0364,1.0518,0
2003-01-09,1.0517,1.0542,1.0463,1.0494,0
2003-01-10,1.0495,1.0587,1.0492,1.0571,0
2003-01-12,1.0581,1.0588,1.0567,1.0572,0
2003-01-13,1.0571,1.0573,1.0528,1.0556,0
2003-01-14,1.0564,1.0599,1.0546,1.0553,0
2003-01-15,1.0552,1.0593,1.0506,1.0556,0
2003-01-16,1.0557,1.063,1.0553,1.0617,0
2003-01-17,1.0616,1.068,1.0613,1.0671,0
2003-01-19,1.0659,1.067,1.0636,1.0647,0
2003-01-20,1.0646,1.0693,1.0639,1.0655,0
2003-01-21,1.0654,1.0737,1.0635,1.0734,0
2003-01-22,1.0733,1.074,1.0687,1.0715,0
2003-01-23,1.0714,1.078,1.0713,1.0773,0
2003-01-24,1.0772,1.0851,1.0759,1.0822,0
2003-01-26,1.0838,1.0847,1.082,1.0844,0
2003-01-27,1.0845,1.091,1.0784,1.0838,0
2003-01-28,1.0837,1.0881,1.0784,1.0866,0
2003-01-29,1.0865,1.0902,1.0803,1.0822,0
2003-01-30,1.0821,1.0838,1.0735,1.082,0
2003-01-31,1.0819,1.0836,1.0725,1.0776,0
2003-02-02,1.0794,1.0794,1.0715,1.0742,0
2003-02-03,1.0741,1.0803,1.0694,1.0775,0
2003-02-04,1.0773,1.0909,1.0773,1.0885,0
2003-02-05,1.0884,1.0939,1.0738,1.0784,0
2003-02-06,1.0785,1.0868,1.0768,1.0824,0
2003-02-07,1.0823,1.0838,1.0735,1.0824,0
2003-02-09,1.0819,1.082,1.0798,1.0814,0
2003-02-10,1.0815,1.0831,1.0709,1.0729,0
2003-02-11,1.0728,1.0763,1.0666,1.0751,0
2003-02-12,1.075,1.0773,1.0705,1.076,0
2003-02-13,1.0759,1.086,1.0744,1.0839,0
2003-02-14,1.0838,1.0852,1.0766,1.079,0
2003-02-16,1.0767,1.0779,1.0715,1.0728,0
2003-02-17,1.0729,1.0761,1.0678,1.0744,0
2003-02-18,1.0743,1.0753,1.0666,1.071,0
2003-02-19,1.0711,1.0776,1.0708,1.0769,0
2003-02-20,1.077,1.0836,1.0752,1.0825,0
2003-02-21,1.0824,1.0849,1.0752,1.0773,0
2003-02-23,1.0739,1.0746,1.071,1.0735,0
2003-02-24,1.0736,1.0811,1.072,1.0796,0
2003-02-25,1.0795,1.0824,1.0744,1.0752,0
2003-02-26,1.0751,1.0813,1.0732,1.0792,0
2003-02-27,1.0791,1.0838,1.0738,1.0756,0
2003-02-28,1.0755,1.0809,1.0738,1.08,0
2003-03-02,1.0777,1.0795,1.077,1.0781,0
2003-03-03,1.078,1.0919,1.0774,1.0916,0
2003-03-04,1.0916,1.0989,1.088,1.0974,0
2003-03-05,1.0975,1.1003,1.0948,1.0965,0
2003-03-06,1.0966,1.1012,1.0926,1.0993,0
2003-03-07,1.0994,1.107,1.0976,1.1009,0
2003-03-09,1.1011,1.1031,1.1006,1.1022,0
2003-03-10,1.1021,1.107,1.1021,1.1048,0
2003-03-11,1.1049,1.1086,1.1006,1.1026,0
2003-03-12,1.1027,1.1059,1.0842,1.0867,0
2003-03-13,1.0868,1.0923,1.0774,1.0806,0
2003-03-14,1.0807,1.0824,1.0692,1.0744,0
2003-03-16,1.0782,1.0821,1.0779,1.0814,0
2003-03-17,1.0813,1.0845,1.0591,1.0642,0
2003-03-18,1.0641,1.0653,1.0545,1.0638,0
2003-03-19,1.0637,1.0656,1.0532,1.0589,0
2003-03-20,1.059,1.0675,1.0586,1.0604,0
2003-03-21,1.0605,1.0615,1.0505,1.0525,0
2003-03-23,1.0595,1.0608,1.0568,1.0605,0
2003-03-24,1.0604,1.0696,1.0603,1.0682,0
2003-03-25,1.0683,1.0722,1.0636,1.0655,0
2003-03-26,1.0656,1.0719,1.0624,1.0707,0
2003-03-27,1.0708,1.0745,1.067,1.0688,0
2003-03-28,1.0689,1.0803,1.0685,1.0785,0
2003-03-30,1.08,1.0834,1.0783,1.0825,0
2003-03-31,1.0826,1.0935,1.0822,1.0914,0
2003-04-01,1.0913,1.0962,1.0868,1.0885,0
2003-04-02,1.0886,1.0889,1.0734,1.0774,0
2003-04-03,1.0773,1.0794,1.069,1.0737,0
2003-04-04,1.0736,1.0752,1.0686,1.0733,0
2003-04-06,1.0694,1.0694,1.0643,1.0644,0
2003-04-07,1.0646,1.0706,1.0563,1.0654,0
2003-04-08,1.0655,1.0756,1.0655,1.0746,0
2003-04-09,1.0745,1.0794,1.0677,1.0781,0
2003-04-10,1.078,1.0832,1.0762,1.0782,0
2003-04-11,1.0783,1.0787,1.0696,1.0755,0
2003-04-13,1.0746,1.076,1.0719,1.0754,0
2003-04-14,1.0753,1.0815,1.0728,1.0773,0
2003-04-15,1.0772,1.0822,1.0738,1.0802,0
2003-04-16,1.0803,1.0979,1.08,1.0954,0
2003-04-17,1.0953,1.0961,1.0867,1.0891,0
2003-04-18,1.0892,1.0899,1.0877,1.0885,0
2003-04-20,1.0901,1.0903,1.089,1.0897,0
2003-04-21,1.0895,1.0905,1.0824,1.0861,0
